"Jace, the Mind Sculptor","Time Walk"
"Tarmogoyf","Life from the Loam",
"Niv-Mizzet, Parun","Turn // Burn"
"Snapcaster Mage","Remand"
"Eidolon of the Great Revel","Lightning Bolt"
"Karn Liberated","Inventors' Fair"
"Stoneforge Mystic","Path to Exile"
"Dark Confidant","Thoughtseize"
"Chromanticore","Reflecting Pool"
